Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
59,1/1/2017,25488869766864,1,soft-shell miso crab ramen
60,1/1/2017,25488869766864,1,soft-shell miso crab ramen
61,1/1/2017,6827699400894560,1,tonkotsu ramen
62,1/1/2017,6827699400894560,1,tonkotsu ramen
63,1/1/2017,6092274863700360,1,truffle butter ramen
64,1/1/2017,6092274863700360,1,truffle butter ramen
65,1/1/2017,6868343243350750,1,spicy miso ramen
66,1/1/2017,6868343243350750,1,spicy miso ramen
67,1/1/2017,6644706782247050,1,burnt garlic tonkotsu ramen
68,1/1/2017,6644706782247050,1,burnt garlic tonkotsu ramen
69,1/1/2017,203567346724240,2,soft-shell miso crab ramen
70,1/1/2017,203567346724240,2,soft-shell miso crab ramen
71,1/1/2017,164673264403463,4,spicy miso ramen
72,1/1/2017,164673264403463,4,spicy miso ramen
73,1/1/2017,2318086938464660,1,vegetarian spicy miso
74,1/1/2017,2318086938464660,1,vegetarian spicy miso
75,1/1/2017,6284589008018910,3,burnt garlic tonkotsu ramen
76,1/1/2017,6284589008018910,3,burnt garlic tonkotsu ramen
77,1/1/2017,5372899258540710,4,miso crab ramen
78,1/1/2017,5372899258540710,4,miso crab ramen
79,1/1/2017,7434126499333790,3,truffle butter ramen
80,1/1/2017,7434126499333790,3,truffle butter ramen
81,1/1/2017,7918389407135660,3,vegetarian spicy miso
82,1/1/2017,7918389407135660,3,vegetarian spicy miso
83,1/1/2017,9229240748122140,1,tori paitan ramen
84,1/1/2017,9229240748122140,1,tori paitan ramen
85,1/1/2017,5357240623566370,1,tonkotsu ramen
86,1/1/2017,5357240623566370,1,tonkotsu ramen
87,1/1/2017,353471709272555,1,vegetarian spicy miso
88,1/1/2017,353471709272555,1,vegetarian spicy miso
89,1/1/2017,3163915761505660,1,tonkotsu ramen
90,1/1/2017,3163915761505660,1,tonkotsu ramen
91,1/1/2017,3451368930610150,1,truffle butter ramen
92,1/1/2017,3451368930610150,1,truffle butter ramen
93,1/1/2017,3242151881645120,1,vegetarian curry + king trumpet mushroom ramen
94,1/1/2017,3242151881645120,1,vegetarian curry + king trumpet mushroom ramen
95,1/1/2017,2770481058384060,1,vegetarian spicy miso
96,1/1/2017,2770481058384060,1,vegetarian spicy miso
97,1/1/2017,1504200333701650,3,truffle butter ramen
98,1/1/2017,1504200333701650,3,truffle butter ramen
99,1/1/2017,9996129182295120,1,nagomi shoyu
100,1/1/2017,9996129182295120,1,nagomi shoyu
101,1/1/2017,9863864841384560,1,truffle butter ramen
102,1/1/2017,9863864841384560,1,truffle butter ramen
103,1/1/2017,6898543754868790,1,tori paitan ramen
104,1/1/2017,6898543754868790,1,tori paitan ramen
105,1/1/2017,440092900011093,1,vegetarian curry + king trumpet mushroom ramen
106,1/1/2017,440092900011093,1,vegetarian curry + king trumpet mushroom ramen
107,1/1/2017,2578446295277390,1,spicy miso ramen
108,1/1/2017,2578446295277390,1,spicy miso ramen
109,1/1/2017,2010385147149370,1,tori paitan ramen
110,1/1/2017,2010385147149370,1,tori paitan ramen
111,1/1/2017,3671414722028400,1,tori paitan ramen
112,1/1/2017,3671414722028400,1,tori paitan ramen
113,1/1/2017,4751046479452530,2,vegetarian spicy miso
114,1/1/2017,4751046479452530,2,vegetarian spicy miso
115,1/1/2017,1735007769975960,1,burnt garlic tonkotsu ramen
116,1/1/2017,1735007769975960,1,burnt garlic tonkotsu ramen
117,1/1/2017,3916426641826240,1,burnt garlic tonkotsu ramen
118,1/1/2017,3916426641826240,1,burnt garlic tonkotsu ramen
119,1/1/2017,2558443807980410,1,burnt garlic tonkotsu ramen
120,1/1/2017,2558443807980410,1,burnt garlic tonkotsu ramen
121,1/1/2017,7295038937276270,1,vegetarian spicy miso
122,1/1/2017,7295038937276270,1,vegetarian spicy miso
123,1/1/2017,197955612531512,1,vegetarian curry + king trumpet mushroom ramen
124,1/1/2017,197955612531512,1,vegetarian curry + king trumpet mushroom ramen
125,1/1/2017,904987186096980,1,nagomi shoyu
126,1/1/2017,904987186096980,1,nagomi shoyu
127,1/1/2017,7106184377897700,4,nagomi shoyu
128,1/1/2017,7106184377897700,4,nagomi shoyu
129,1/1/2017,3284254883081880,1,burnt garlic tonkotsu ramen
130,1/1/2017,3284254883081880,1,burnt garlic tonkotsu ramen
131,1/1/2017,3645808943593640,1,nagomi shoyu
132,1/1/2017,3645808943593640,1,nagomi shoyu
133,1/1/2017,1548540106333950,1,vegetarian spicy miso
134,1/1/2017,1548540106333950,1,vegetarian spicy miso
135,1/1/2017,5880821253459940,1,truffle butter ramen
136,1/1/2017,5880821253459940,1,truffle butter ramen
137,1/1/2017,2937165309877070,1,truffle butter ramen
138,1/1/2017,2937165309877070,1,truffle butter ramen
139,1/1/2017,135512259164914,1,shio ramen
140,1/1/2017,135512259164914,1,shio ramen
141,1/1/2017,7826072270317660,1,vegetarian curry + king trumpet mushroom ramen
142,1/1/2017,7826072270317660,1,vegetarian curry + king trumpet mushroom ramen
143,1/1/2017,89395923107334,1,nagomi shoyu
144,1/1/2017,89395923107334,1,nagomi shoyu
145,1/1/2017,9962482931425530,1,vegetarian spicy miso
146,1/1/2017,9962482931425530,1,vegetarian spicy miso
147,1/1/2017,8943262387749440,1,vegetarian curry + king trumpet mushroom ramen
148,1/1/2017,8943262387749440,1,vegetarian curry + king trumpet mushroom ramen
149,1/1/2017,4438041246874490,1,shio ramen
150,1/1/2017,4438041246874490,1,shio ramen
151,1/1/2017,2225572442813710,1,shio ramen
152,1/1/2017,2225572442813710,1,shio ramen
153,1/1/2017,969930968336613,1,vegetarian spicy miso
154,1/1/2017,969930968336613,1,vegetarian spicy miso
155,1/1/2017,9877201711186750,2,soft-shell miso crab ramen
156,1/1/2017,9877201711186750,2,soft-shell miso crab ramen
157,1/1/2017,627106076864560,2,shio ramen
158,1/1/2017,627106076864560,2,shio ramen
159,1/1/2017,884037243539149,1,vegetarian spicy miso
160,1/1/2017,884037243539149,1,vegetarian spicy miso
161,1/1/2017,5932581824265630,1,nagomi shoyu
162,1/1/2017,5932581824265630,1,nagomi shoyu
163,1/1/2017,2984744025177110,1,vegetarian spicy miso
164,1/1/2017,2984744025177110,1,vegetarian spicy miso
165,1/1/2017,36480379221833,3,tori paitan ramen
166,1/1/2017,36480379221833,3,tori paitan ramen
167,1/1/2017,644944722331273,2,miso crab ramen
168,1/1/2017,644944722331273,2,miso crab ramen
169,1/1/2017,9351573732855840,1,vegetarian curry + king trumpet mushroom ramen
170,1/1/2017,9351573732855840,1,vegetarian curry + king trumpet mushroom ramen
171,1/1/2017,4737336514534560,1,tori paitan ramen
172,1/1/2017,4737336514534560,1,tori paitan ramen
173,1/1/2017,7456253403515680,1,truffle butter ramen
174,1/1/2017,7456253403515680,1,truffle butter ramen
175,1/1/2017,8943849299020890,1,spicy miso ramen
176,1/1/2017,8943849299020890,1,spicy miso ramen
177,1/1/2017,1082205543290080,1,spicy miso ramen
178,1/1/2017,1082205543290080,1,spicy miso ramen
179,1/1/2017,3702405898802280,1,spicy miso ramen
180,1/1/2017,3702405898802280,1,spicy miso ramen
181,1/1/2017,160368623399516,1,soft-shell miso crab ramen
182,1/1/2017,160368623399516,1,soft-shell miso crab ramen
183,1/1/2017,9352030105614890,1,soft-shell miso crab ramen
184,1/1/2017,9352030105614890,1,soft-shell miso crab ramen
185,1/1/2017,9212040200270470,3,spicy miso ramen
186,1/1/2017,9212040200270470,3,spicy miso ramen
187,1/1/2017,4000430011009640,1,vegetarian curry + king trumpet mushroom ramen
188,1/1/2017,4000430011009640,1,vegetarian curry + king trumpet mushroom ramen
189,1/2/2017,2408158963507560,2,soft-shell miso crab ramen
190,1/2/2017,2408158963507560,2,soft-shell miso crab ramen
191,1/2/2017,1067611784032330,1,miso crab ramen
192,1/2/2017,1067611784032330,1,miso crab ramen
193,1/2/2017,1290464374629900,1,nagomi shoyu
194,1/2/2017,1290464374629900,1,nagomi shoyu
195,1/2/2017,7106920826697550,1,tonkotsu ramen
196,1/2/2017,7106920826697550,1,tonkotsu ramen
197,1/2/2017,8517541902754120,1,tori paitan ramen
198,1/2/2017,8517541902754120,1,tori paitan ramen
199,1/2/2017,6283999606105190,1,vegetarian curry + king trumpet mushroom ramen
200,1/2/2017,6283999606105190,1,vegetarian curry + king trumpet mushroom ramen
201,1/3/2017,5261843483123320,4,burnt garlic tonkotsu ramen
202,1/3/2017,5261843483123320,4,burnt garlic tonkotsu ramen
203,1/3/2017,3068702277814900,1,shio ramen
204,1/3/2017,3068702277814900,1,shio ramen
205,1/3/2017,7289467527375800,1,shio ramen
206,1/3/2017,7289467527375800,1,shio ramen
207,1/3/2017,5531943711128530,1,spicy miso ramen
208,1/3/2017,5531943711128530,1,spicy miso ramen
209,1/3/2017,5918177403479090,2,vegetarian curry + king trumpet mushroom ramen
210,1/3/2017,5918177403479090,2,vegetarian curry + king trumpet mushroom ramen
211,1/3/2017,9565140421388870,1,tonkotsu ramen
212,1/3/2017,9565140421388870,1,tonkotsu ramen
213,1/3/2017,1334359254177290,1,burnt garlic tonkotsu ramen
214,1/3/2017,1334359254177290,1,burnt garlic tonkotsu ramen
215,1/3/2017,7371008146406240,1,soft-shell miso crab ramen
216,1/3/2017,7371008146406240,1,soft-shell miso crab ramen
217,1/3/2017,9314579535214510,1,spicy miso ramen
218,1/3/2017,9314579535214510,1,spicy miso ramen
219,1/3/2017,9737314687228610,1,soft-shell miso crab ramen
220,1/3/2017,9737314687228610,1,soft-shell miso crab ramen
221,1/3/2017,8015283485351590,1,tonkotsu ramen
222,1/3/2017,8015283485351590,1,tonkotsu ramen
223,1/3/2017,8732345394900210,1,tori paitan ramen
224,1/3/2017,8732345394900210,1,tori paitan ramen
225,1/3/2017,6847420356456940,1,truffle butter ramen
226,1/3/2017,6847420356456940,1,truffle butter ramen
227,1/3/2017,8990541098240880,1,soft-shell miso crab ramen
228,1/3/2017,8990541098240880,1,soft-shell miso crab ramen
229,1/3/2017,1719910092958110,2,miso crab ramen
230,1/3/2017,1719910092958110,2,miso crab ramen
231,1/3/2017,2378274395017370,4,burnt garlic tonkotsu ramen
232,1/3/2017,2378274395017370,4,burnt garlic tonkotsu ramen
233,1/3/2017,7560732825329630,1,spicy miso ramen
234,1/3/2017,7560732825329630,1,spicy miso ramen
235,1/3/2017,7795574886357530,1,nagomi shoyu
236,1/3/2017,7795574886357530,1,nagomi shoyu
237,1/3/2017,1836229643950740,1,spicy miso ramen
238,1/3/2017,1836229643950740,1,spicy miso ramen
239,1/3/2017,4334126292770660,1,burnt garlic tonkotsu ramen
240,1/3/2017,4334126292770660,1,burnt garlic tonkotsu ramen
241,1/3/2017,2974170063088410,1,burnt garlic tonkotsu ramen
242,1/3/2017,2974170063088410,1,burnt garlic tonkotsu ramen
243,1/3/2017,6973405745375920,4,truffle butter ramen
244,1/3/2017,6973405745375920,4,truffle butter ramen
245,1/3/2017,6161239014775200,1,vegetarian curry + king trumpet mushroom ramen
246,1/3/2017,6161239014775200,1,vegetarian curry + king trumpet mushroom ramen
247,1/3/2017,6344889675741820,1,soft-shell miso crab ramen
248,1/3/2017,6344889675741820,1,soft-shell miso crab ramen
249,1/3/2017,8223857559806330,1,soft-shell miso crab ramen
250,1/3/2017,8223857559806330,1,soft-shell miso crab ramen
251,1/3/2017,2600287054148390,1,tori paitan ramen
252,1/3/2017,2600287054148390,1,tori paitan ramen
253,1/3/2017,309847201300191,1,shio ramen
254,1/3/2017,309847201300191,1,shio ramen
255,1/3/2017,9356379794328280,1,truffle butter ramen
256,1/3/2017,9356379794328280,1,truffle butter ramen
257,1/3/2017,6014607474424170,1,spicy miso ramen
258,1/3/2017,6014607474424170,1,spicy miso ramen
259,1/3/2017,9390037144879450,1,nagomi shoyu
260,1/3/2017,9390037144879450,1,nagomi shoyu
261,1/3/2017,373738658008538,1,truffle butter ramen
262,1/3/2017,373738658008538,1,truffle butter ramen
263,1/3/2017,9924242407022970,1,vegetarian spicy miso
264,1/3/2017,9924242407022970,1,vegetarian spicy miso
265,1/3/2017,3375430611504890,1,truffle butter ramen
266,1/3/2017,3375430611504890,1,truffle butter ramen
267,1/3/2017,1133133846896250,1,tori paitan ramen
268,1/3/2017,1133133846896250,1,tori paitan ramen
269,1/3/2017,917706827455,1,soft-shell miso crab ramen
270,1/3/2017,917706827455,1,soft-shell miso crab ramen
271,1/3/2017,5053523734121990,1,soft-shell miso crab ramen
272,1/3/2017,5053523734121990,1,soft-shell miso crab ramen
273,1/3/2017,185796327459581,1,soft-shell miso crab ramen
274,1/3/2017,185796327459581,1,soft-shell miso crab ramen
275,1/3/2017,4512814072383370,1,shio ramen
276,1/3/2017,4512814072383370,1,shio ramen
277,1/3/2017,3642907853425790,1,vegetarian curry + king trumpet mushroom ramen
278,1/3/2017,3642907853425790,1,vegetarian curry + king trumpet mushroom ramen
279,1/3/2017,9986129114873460,3,tonkotsu ramen
280,1/3/2017,9986129114873460,3,tonkotsu ramen
281,1/3/2017,5143562498850380,1,vegetarian spicy miso
282,1/3/2017,5143562498850380,1,vegetarian spicy miso
283,1/3/2017,501731536927417,2,tori paitan ramen
284,1/3/2017,501731536927417,2,tori paitan ramen
285,1/3/2017,4976873961044830,1,tori paitan ramen
286,1/3/2017,4976873961044830,1,tori paitan ramen
287,1/3/2017,7162979422232000,1,tori paitan ramen
288,1/3/2017,7162979422232000,1,tori paitan ramen
289,1/3/2017,8969843749801440,1,tori paitan ramen
290,1/3/2017,8969843749801440,1,tori paitan ramen
291,1/3/2017,8745721508495440,1,vegetarian curry + king trumpet mushroom ramen
292,1/3/2017,8745721508495440,1,vegetarian curry + king trumpet mushroom ramen
293,1/3/2017,644262266777805,1,miso crab ramen
294,1/3/2017,644262266777805,1,miso crab ramen
295,1/3/2017,6096829815987920,1,shio ramen
296,1/3/2017,6096829815987920,1,shio ramen
297,1/3/2017,5357478252483550,1,tori paitan ramen
298,1/3/2017,5357478252483550,1,tori paitan ramen
299,1/3/2017,6254051944628540,1,vegetarian spicy miso
300,1/3/2017,6254051944628540,1,vegetarian spicy miso
301,1/3/2017,4441005771019170,1,tonkotsu ramen
302,1/3/2017,4441005771019170,1,tonkotsu ramen
303,1/3/2017,4416492531223480,1,miso crab ramen
304,1/3/2017,4416492531223480,1,miso crab ramen
305,1/3/2017,9318828975523350,3,tonkotsu ramen
306,1/3/2017,9318828975523350,3,tonkotsu ramen
307,1/3/2017,1388780951860850,1,miso crab ramen
308,1/3/2017,1388780951860850,1,miso crab ramen
309,1/3/2017,7833133385875550,2,tori paitan ramen
310,1/3/2017,7833133385875550,2,tori paitan ramen
311,1/3/2017,100667066790567,1,shio ramen
312,1/3/2017,100667066790567,1,shio ramen
313,1/3/2017,9839869744682440,2,miso crab ramen
314,1/3/2017,9839869744682440,2,miso crab ramen
315,1/3/2017,2323504860982900,2,tori paitan ramen
316,1/3/2017,2323504860982900,2,tori paitan ramen
317,1/3/2017,958876356748830,1,truffle butter ramen
318,1/3/2017,958876356748830,1,truffle butter ramen
319,1/3/2017,9458413385836180,2,truffle butter ramen
320,1/3/2017,9458413385836180,2,truffle butter ramen
321,1/3/2017,209368570702357,3,tonkotsu ramen
322,1/3/2017,209368570702357,3,tonkotsu ramen
323,1/3/2017,8228608523994120,4,burnt garlic tonkotsu ramen
324,1/3/2017,8228608523994120,4,burnt garlic tonkotsu ramen
325,1/3/2017,7288350643160050,2,tonkotsu ramen
326,1/3/2017,7288350643160050,2,tonkotsu ramen
327,1/3/2017,5312071431545040,1,tori paitan ramen
328,1/3/2017,5312071431545040,1,tori paitan ramen
329,1/3/2017,4747468192027290,1,spicy miso ramen
330,1/3/2017,4747468192027290,1,spicy miso ramen
331,1/3/2017,4859421292300170,2,truffle butter ramen
332,1/3/2017,4859421292300170,2,truffle butter ramen
333,1/3/2017,3267764722185690,4,shio ramen
334,1/3/2017,3267764722185690,4,shio ramen
335,1/3/2017,21151675370887,1,vegetarian curry + king trumpet mushroom ramen
336,1/3/2017,21151675370887,1,vegetarian curry + king trumpet mushroom ramen
337,1/3/2017,6160930039149130,2,burnt garlic tonkotsu ramen
338,1/3/2017,6160930039149130,2,burnt garlic tonkotsu ramen
339,1/3/2017,2166248745797950,1,truffle butter ramen
340,1/3/2017,2166248745797950,1,truffle butter ramen
341,1/4/2017,4283511276071040,1,vegetarian spicy miso
342,1/4/2017,4283511276071040,1,vegetarian spicy miso
343,1/4/2017,4643350712038560,1,vegetarian curry + king trumpet mushroom ramen
344,1/4/2017,4643350712038560,1,vegetarian curry + king trumpet mushroom ramen
345,1/4/2017,2421265868613180,1,vegetarian curry + king trumpet mushroom ramen
346,1/4/2017,2421265868613180,1,vegetarian curry + king trumpet mushroom ramen
347,1/4/2017,2951859717678260,2,tori paitan ramen
348,1/4/2017,2951859717678260,2,tori paitan ramen
349,1/4/2017,7571423031175510,1,soft-shell miso crab ramen
350,1/4/2017,7571423031175510,1,soft-shell miso crab ramen
351,1/4/2017,2294715616918950,1,tori paitan ramen
352,1/4/2017,2294715616918950,1,tori paitan ramen
353,1/4/2017,1476966094104270,1,truffle butter ramen
354,1/4/2017,1476966094104270,1,truffle butter ramen
355,1/4/2017,6631336024973350,4,burnt garlic tonkotsu ramen
356,1/4/2017,6631336024973350,4,burnt garlic tonkotsu ramen
357,1/4/2017,662742192816701,4,spicy miso ramen
358,1/4/2017,662742192816701,4,spicy miso ramen
359,1/4/2017,2649801010353820,1,truffle butter ramen
360,1/4/2017,2649801010353820,1,truffle butter ramen
361,1/4/2017,8660788904475060,1,truffle butter ramen
362,1/4/2017,8660788904475060,1,truffle butter ramen
363,1/4/2017,1579504124854280,1,tori paitan ramen
364,1/4/2017,1579504124854280,1,tori paitan ramen
365,1/4/2017,5017680183215400,1,tonkotsu ramen
366,1/4/2017,5017680183215400,1,tonkotsu ramen
367,1/4/2017,8665917300640810,1,vegetarian curry + king trumpet mushroom ramen
368,1/4/2017,8665917300640810,1,vegetarian curry + king trumpet mushroom ramen
369,1/4/2017,2579808228591990,1,shio ramen
370,1/4/2017,2579808228591990,1,shio ramen
371,1/4/2017,403920647585194,1,spicy miso ramen
372,1/4/2017,403920647585194,1,spicy miso ramen
373,1/4/2017,2249756713583340,2,burnt garlic tonkotsu ramen
374,1/4/2017,2249756713583340,2,burnt garlic tonkotsu ramen
375,1/4/2017,1927287216711130,1,miso crab ramen
376,1/4/2017,1927287216711130,1,miso crab ramen
377,1/4/2017,6571277790393900,1,tori paitan ramen
378,1/4/2017,6571277790393900,1,tori paitan ramen
379,1/4/2017,4629045281632470,1,nagomi shoyu
380,1/4/2017,4629045281632470,1,nagomi shoyu
381,1/4/2017,2890176598633180,1,vegetarian curry + king trumpet mushroom ramen
382,1/4/2017,2890176598633180,1,vegetarian curry + king trumpet mushroom ramen
383,1/4/2017,730995933266524,1,spicy miso ramen
384,1/4/2017,730995933266524,1,spicy miso ramen
385,1/4/2017,1856794941858810,1,spicy miso ramen
386,1/4/2017,1856794941858810,1,spicy miso ramen
387,1/4/2017,6825321860883160,1,tori paitan ramen
388,1/4/2017,6825321860883160,1,tori paitan ramen
389,1/4/2017,8949373751888170,1,soft-shell miso crab ramen
390,1/4/2017,8949373751888170,1,soft-shell miso crab ramen
391,1/4/2017,1707038004187700,1,miso crab ramen
392,1/4/2017,1707038004187700,1,miso crab ramen
393,1/4/2017,3861789221863030,1,tori paitan ramen
394,1/4/2017,3861789221863030,1,tori paitan ramen
395,1/4/2017,6978344882147150,2,tori paitan ramen
396,1/4/2017,6978344882147150,2,tori paitan ramen
397,1/4/2017,2429411300847500,1,shio ramen
398,1/4/2017,2429411300847500,1,shio ramen
399,1/4/2017,162312632362022,1,truffle butter ramen
400,1/4/2017,162312632362022,1,truffle butter ramen
401,1/4/2017,7429408286098980,4,spicy miso ramen
402,1/4/2017,7429408286098980,4,spicy miso ramen
403,1/4/2017,3389842853451850,1,tori paitan ramen
404,1/4/2017,3389842853451850,1,tori paitan ramen
405,1/4/2017,386530388923548,1,vegetarian spicy miso
406,1/4/2017,386530388923548,1,vegetarian spicy miso
407,1/4/2017,9753858403203240,1,soft-shell miso crab ramen
408,1/4/2017,9753858403203240,1,soft-shell miso crab ramen
409,1/4/2017,5973109803880600,1,vegetarian curry + king trumpet mushroom ramen
410,1/4/2017,5973109803880600,1,vegetarian curry + king trumpet mushroom ramen
411,1/4/2017,6158932931525300,1,vegetarian spicy miso
412,1/4/2017,6158932931525300,1,vegetarian spicy miso
413,1/4/2017,4751616032697410,3,nagomi shoyu
414,1/4/2017,4751616032697410,3,nagomi shoyu
415,1/4/2017,6419714069128740,3,shio ramen
416,1/4/2017,6419714069128740,3,shio ramen
417,1/4/2017,7619676539573250,1,truffle butter ramen
418,1/4/2017,7619676539573250,1,truffle butter ramen
419,1/4/2017,5549467284313110,1,miso crab ramen
420,1/4/2017,5549467284313110,1,miso crab ramen
421,1/4/2017,2351504315397650,1,tori paitan ramen
422,1/4/2017,2351504315397650,1,tori paitan ramen
423,1/4/2017,6122249858800040,1,burnt garlic tonkotsu ramen
424,1/4/2017,6122249858800040,1,burnt garlic tonkotsu ramen
425,1/4/2017,1359808378820870,1,shio ramen
426,1/4/2017,1359808378820870,1,shio ramen
427,1/4/2017,324645829035061,1,nagomi shoyu
428,1/4/2017,324645829035061,1,nagomi shoyu
429,1/4/2017,2560203196072100,1,tonkotsu ramen
430,1/4/2017,2560203196072100,1,tonkotsu ramen
431,1/4/2017,9424742308930670,1,shio ramen
432,1/4/2017,9424742308930670,1,shio ramen
433,1/4/2017,8124611585187810,1,truffle butter ramen
434,1/4/2017,8124611585187810,1,truffle butter ramen
435,1/4/2017,5456283042885560,1,spicy miso ramen
436,1/4/2017,5456283042885560,1,spicy miso ramen
437,1/4/2017,8808924886297540,1,vegetarian spicy miso
438,1/4/2017,8808924886297540,1,vegetarian spicy miso
439,1/4/2017,4604488815151950,1,tonkotsu ramen
440,1/4/2017,4604488815151950,1,tonkotsu ramen
441,1/4/2017,8254903184133400,1,burnt garlic tonkotsu ramen
442,1/4/2017,8254903184133400,1,burnt garlic tonkotsu ramen
443,1/4/2017,8684271911221860,1,shio ramen
444,1/4/2017,8684271911221860,1,shio ramen
445,1/4/2017,5384492127115920,1,soft-shell miso crab ramen
446,1/4/2017,5384492127115920,1,soft-shell miso crab ramen
447,1/4/2017,6470761247121470,1,tonkotsu ramen
448,1/4/2017,6470761247121470,1,tonkotsu ramen
449,1/4/2017,7369685212752390,4,spicy miso ramen
450,1/4/2017,7369685212752390,4,spicy miso ramen
451,1/4/2017,69676011620227,1,tonkotsu ramen
452,1/4/2017,69676011620227,1,tonkotsu ramen
453,1/4/2017,7099801981183220,1,shio ramen
454,1/4/2017,7099801981183220,1,shio ramen
455,1/5/2017,8353787737059640,1,miso crab ramen
456,1/5/2017,8353787737059640,1,miso crab ramen
457,1/5/2017,2423845303599260,1,truffle butter ramen
458,1/5/2017,2423845303599260,1,truffle butter ramen
459,1/5/2017,9860128928596810,1,spicy miso ramen
460,1/5/2017,9860128928596810,1,spicy miso ramen
461,1/5/2017,3922109468286770,1,vegetarian curry + king trumpet mushroom ramen
462,1/5/2017,3922109468286770,1,vegetarian curry + king trumpet mushroom ramen
463,1/5/2017,4186526712107770,1,soft-shell miso crab ramen
464,1/5/2017,4186526712107770,1,soft-shell miso crab ramen
465,1/5/2017,7145187421403800,1,miso crab ramen
466,1/5/2017,7145187421403800,1,miso crab ramen
467,1/5/2017,2302642897196130,1,vegetarian curry + king trumpet mushroom ramen
468,1/5/2017,2302642897196130,1,vegetarian curry + king trumpet mushroom ramen
469,1/5/2017,1287910048373150,1,tonkotsu ramen
470,1/5/2017,1287910048373150,1,tonkotsu ramen
471,1/5/2017,4883569277655060,1,soft-shell miso crab ramen
472,1/5/2017,4883569277655060,1,soft-shell miso crab ramen
473,1/5/2017,6983346276704820,4,shio ramen
474,1/5/2017,6983346276704820,4,shio ramen
475,1/5/2017,7084375453089600,1,soft-shell miso crab ramen
476,1/5/2017,7084375453089600,1,soft-shell miso crab ramen
477,1/5/2017,3852852099362490,3,vegetarian curry + king trumpet mushroom ramen
478,1/5/2017,3852852099362490,3,vegetarian curry + king trumpet mushroom ramen
479,1/5/2017,5212003819573410,1,truffle butter ramen
480,1/5/2017,5212003819573410,1,truffle butter ramen
481,1/5/2017,8108410753992190,1,vegetarian spicy miso
482,1/5/2017,8108410753992190,1,vegetarian spicy miso
483,1/5/2017,2216460171197190,1,burnt garlic tonkotsu ramen
484,1/5/2017,2216460171197190,1,burnt garlic tonkotsu ramen
